app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck
13500,Prince of Persia: Warrior Within™,2008-11-21,True,False,False,Very Positive,84,2199,9.99,9.99,0.0,True
113020,Monaco: What's Yours Is Mine,2013-04-24,True,True,True,Very Positive,92,3722,14.99,14.99,0.0,True
226560,Escape Dead Island,2014-11-18,True,False,False,Mixed,61,873,14.99,14.99,0.0,True
249050,Dungeon of the ENDLESS™,2014-10-27,True,True,False,Very Positive,88,8784,11.99,11.99,0.0,True
250180,METAL SLUG 3,2015-09-14,True,False,False,Very Positive,90,5579,7.99,7.99,0.0,True
253980,Enclave,2013-10-04,True,True,True,Mostly Positive,75,1608,4.99,4.99,0.0,True
282900,Hyperdimension Neptunia Re;Birth1,2015-01-29,True,False,False,Very Positive,94,9686,14.99,14.99,0.0,True
19810,The Sum of All Fears,2008-10-10,True,False,False,Mostly Positive,75,33,9.99,9.99,0.0,True
15270,Cold Fear™,2008-05-13,True,False,False,Very Positive,85,800,9.99,9.99,0.0,True
21130,LEGO® Harry Potter: Years 1-4,2010-06-25,True,False,False,Very Positive,85,5169,19.99,19.99,0.0,True
22130,Hearts of Iron 2 Complete,2009-01-23,True,False,False,Very Positive,85,462,14.99,14.99,0.0,True
29180,Osmos,2009-08-18,True,True,True,Very Positive,88,532,9.99,9.99,0.0,True
32750,Comanche 4,2009-06-18,True,False,False,Very Positive,90,222,9.99,9.99,0.0,True
241620,Inquisitor,2013-08-01,True,False,False,Mostly Positive,70,390,9.99,9.99,0.0,True
408520,FORM,2017-06-01,True,False,False,Very Positive,91,934,14.99,14.99,0.0,True
244910,Homesick,2015-05-28,True,False,False,Mostly Positive,77,1139,14.99,14.99,0.0,True
250460,Bridge Constructor,2013-10-16,True,True,True,Mostly Positive,77,716,2.39,19.99,88.0,True
278890,Angvik,2014-02-24,True,True,False,Very Positive,88,1986,2.99,2.99,0.0,True
312200,Chasm,2018-07-30,True,True,True,Mostly Positive,73,1065,19.99,19.99,0.0,True
321290,Dandelion - Wishes brought to you -,2014-09-29,True,True,False,Very Positive,85,589,29.99,29.99,0.0,True
329640,Eradicator,2014-11-06,True,True,True,Very Positive,88,60,6.99,6.99,0.0,True
367670,Controller Companion,2015-05-04,True,False,False,Very Positive,90,2323,2.99,2.99,0.0,True
380810,Herald: An Interactive Period Drama - Book I & II,2017-02-22,True,True,True,Very Positive,89,97,9.99,9.99,0.0,True
437000,GUILTY GEAR 2 -OVERTURE-,2016-03-31,True,False,False,Mostly Positive,71,214,19.99,19.99,0.0,True
445420,Aselia the Eternal -The Spirit of Eternity Sword-,2016-04-29,True,False,False,Very Positive,82,63,14.99,14.99,0.0,True
1872790,Luckitown,2022-01-19,True,True,False,Very Positive,86,163,4.99,4.99,0.0,True
371970,Barony,2015-06-23,True,True,True,Very Positive,92,3713,20.0,0.0,0.0,True
222660,Retro/Grade,2013-03-20,True,False,False,Very Positive,85,207,9.99,9.99,0.0,True
237850,Dreamfall Chapters,2017-07-21,True,True,True,Very Positive,82,2976,24.99,24.99,0.0,True
268220,Meltdown,2014-06-05,True,True,True,Very Positive,86,493,6.99,6.99,0.0,True
274270,NOT A HERO,2016-07-08,True,True,True,Very Positive,86,1563,19.99,19.99,0.0,True
281450,Disciples Sacred Lands Gold,2014-10-07,True,False,False,Very Positive,85,270,7.99,7.99,0.0,True
296870,Dreaming Sarah,2015-03-12,True,False,True,Very Positive,92,2010,5.99,5.99,0.0,True
330180,Pix the Cat,2015-01-29,True,True,True,Very Positive,87,170,4.99,4.99,0.0,True
351920,Crazy Machines 3,2016-10-18,True,False,False,Very Positive,94,6817,9.99,9.99,0.0,True
397210,Kanji Training Game,2015-09-23,True,False,False,Mostly Positive,75,72,4.99,4.99,0.0,True
402130,FlatOut 4: Total Insanity,2017-04-04,True,False,False,Mixed,52,1489,29.99,29.99,0.0,True
410970,Master of Orion 1,2016-08-25,True,True,True,Very Positive,90,279,0.89,5.99,85.0,True
415200,Motorsport Manager,2016-11-09,True,True,True,Very Positive,91,9753,19.99,19.99,0.0,True
410770,Roads of Rome,2015-10-16,True,False,False,Very Positive,85,61,3.99,3.99,0.0,True
254820,Ground Control Anthology,2015-07-08,True,False,False,Very Positive,87,141,4.99,4.99,0.0,True
284180,Magicians & Looters,2014-07-01,True,False,False,Very Positive,86,74,6.99,6.99,0.0,True
286380,Strata,2014-05-29,True,True,True,Very Positive,92,131,7.99,7.99,0.0,True
288220,Backstage Pass,2016-08-22,True,True,True,Very Positive,90,209,29.99,29.99,0.0,True
302690,Metal Dead,2014-10-06,True,False,False,Very Positive,83,378,4.99,4.99,0.0,True
339350,Choice of Robots,2014-12-19,True,True,True,Overwhelmingly Positive,96,1834,6.99,6.99,0.0,True
342310,RIOT: Civil Unrest,2019-02-12,True,True,True,Mixed,68,1280,5.09,16.99,70.0,True
346500,Road Scars: Origins,2018-04-03,True,False,False,Mostly Positive,71,194,0.99,0.99,0.0,True
414870,Super Mega Baseball 2,2018-04-30,True,False,False,Very Positive,88,988,19.99,19.99,0.0,True
419990,Ganbare! Super Strikers,2018-07-26,True,True,True,Very Positive,84,57,9.99,9.99,0.0,True
446600,Magi Trials,2016-11-17,True,False,False,Very Positive,82,91,12.99,12.99,0.0,True
451640,C14 Dating,2016-04-22,True,True,True,Positive,89,49,19.99,19.99,0.0,True
479010,Kodon,2016-06-03,True,False,False,Mostly Positive,70,245,59.99,59.99,0.0,True
494150,The Thrill of the Fight - VR Boxing,2019-10-24,True,False,False,Overwhelmingly Positive,95,3278,9.99,9.99,0.0,True
1198740,Colony Siege,2020-09-07,True,False,False,Very Positive,90,155,6.99,6.99,0.0,True
35000,Mini Ninjas,2009-09-08,True,False,False,Very Positive,90,2895,9.99,9.99,0.0,True
37400,Time Gentlemen Please! and Ben There Dan That! Special Edition  Double Pack,2009-08-25,True,False,False,Very Positive,86,445,4.99,4.99,0.0,True
39690,ArcaniA,2010-10-15,True,False,False,Mixed,56,1720,19.99,19.99,0.0,True
65400,Archon Classic,2010-11-02,True,False,False,Very Positive,88,124,9.99,9.99,0.0,True
222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,2014-12-16,True,False,False,Very Positive,89,1901,14.99,14.99,0.0,True
274480,Drox Operative,2014-02-18,True,True,True,Very Positive,88,263,19.99,19.99,0.0,True
