user_id,products,reviews
6366584,1597,129
11402551,444,137
5047735,1941,152
5337314,1252,199
5382866,2723,109
6415396,3531,146
7465111,259,101
9082536,750,612
9966160,3842,111
11252439,344,174
11422252,700,118
11489232,379,115
11606206,523,112
11656042,2745,137
11790645,1596,152
11899656,1852,160
12034266,287,117
12142129,4121,345
14287706,5725,100
1054344,2263,467
1741556,284,129
1992065,1477,112
2639416,220,115
2801456,1069,160
2867240,1555,136
3071640,306,120
3783752,793,100
4528511,371,205
4588515,852,287
5111845,739,127
6119536,4910,139
6494154,218,124
6617926,563,102
6769237,283,126
7933410,318,136
7958771,168,106
8443614,3663,161
10243247,2765,266
1393586,1635,186
4748296,845,266
7372560,3131,794
7761503,1188,128
8784163,8197,108
8975587,659,120
9643716,660,539
10737620,7212,295
11543414,650,386
11991192,246,145
12143177,902,106
12665011,5983,202
12822968,468,106
13282569,885,170
13331348,418,105
13559612,769,104
414761,1398,415
2988804,1380,115
3925150,2780,130
4227513,547,162
4324617,644,101
4452307,671,153
5021229,200,137
5047129,1285,310
5153336,400,202
5662479,303,107
5702233,6450,168
6055390,67,100
6180373,879,518
6343853,759,106
6682751,721,140
6732547,9321,305
6825413,2502,686
7267635,516,136
7436826,470,223
7453071,293,105
7802561,358,138
8380327,287,112
9113343,143,126
9132432,1374,152
9281735,2424,105
9599514,289,191
10390947,666,113
10622864,1359,114
10632503,330,118
10888620,356,114
12214725,419,111
281578,834,307
11354019,333,104
3568442,1509,105
6210946,641,104
6317671,649,130
6764086,552,245
7425529,529,195
7959429,1350,136
8907484,589,125
10001643,1427,319
10131543,342,105
11323635,729,106
11330370,2499,131
11555906,1242,185
11629035,563,216
11858656,801,152
11939597,3147,121
12036988,899,103
12121708,2166,151
12410935,3284,183
13077484,2479,135
13091603,751,124
13716286,348,108
14260222,1867,120
657377,735,245
980557,752,124
2032724,4988,204
2208163,2941,119
2921852,572,117
3083370,354,221
4299352,939,259
4302914,1071,104
5009035,1025,150
5726771,373,130
5755065,2928,156
6380920,212,150
6467819,304,118
6543503,304,110
6579413,253,100
6749402,328,190
6825668,684,149
7172526,336,106
7486438,952,455
7619042,2107,136
7883946,251,123
8039625,2996,113
8291910,935,112
8683655,203,103
8979724,383,103
9480554,1871,105
10527370,364,133
10851984,273,149
12941655,604,107
13085200,1831,111
6162908,323,171
6378724,797,112
6612841,3911,423
6897451,3523,337
7551361,822,134
10287553,9877,127
10804333,628,101
11033298,1213,352
11045809,360,111
11263036,1547,140
11350990,370,189
11594012,921,292
12030137,1185,130
14204770,698,151
2786557,4005,347
2843228,538,163
3627377,1180,121
3818255,1308,298
4268215,425,212
4565165,579,279
5117018,546,429
5327592,332,114
5345714,2336,273
5700545,590,118
5743484,1273,104
5776567,449,154
5964378,5879,115
6175200,782,341
6273566,1260,159
6302634,287,158
6434600,1123,478
6680996,999,138
6935257,390,167
7042875,417,234
7302702,253,112
7314052,554,102
7343358,387,101
7659261,1015,334
7844119,384,110
8346981,279,173
8367954,407,106
9040718,623,109
10016727,1382,277
10101853,275,136
10877567,394,150
12653770,186,209
1867447,427,110
2317527,256,761
11256476,700,142
11867389,875,138
603413,1142,182
4764355,2231,108
5912571,392,104
6244750,2438,122
6603103,1115,205
7872788,1095,154
8293396,239,133
8870423,1730,428
9476875,735,153
10551260,1040,136
11594845,379,103
11605857,846,162
11735848,558,168
11745558,332,106
11791153,3765,154
11834428,620,205
11951080,761,191
11974820,1171,107
12163093,983,100
12183434,2235,177
634326,415,103
2419654,1222,108
3351474,343,267
3542646,893,110
3780630,423,168
4075672,639,132
4350301,3053,356
4929300,390,145
5024693,1655,219
5080296,1414,110
5373112,272,126
5679575,323,101
5745939,460,101
5869819,858,206
5879939,1321,169
6102510,6929,340
6643566,1113,113
6893432,195,144
7455040,2051,1198
7463959,926,206
7889829,773,120
8019115,507,120
8715090,455,342
8835602,230,101
9102872,1202,103
12599990,2880,461
13168913,451,107
11919932,342,115
14172730,305,105
1339416,1021,218
4039218,3386,130
6479111,1268,172
7833553,868,103
8311721,1785,118
9862298,2101,135
11045745,1476,105
11344087,1860,399
11572112,887,163
11600596,1455,106
11700203,646,146
12032414,1019,132
12171517,407,110
12455806,677,179
13966177,1759,182
14005451,299,122
769466,1548,125
2936707,744,237
4309205,231,196
4314306,683,177
4656915,1187,210
5672955,455,113
5787568,663,173
5892738,412,102
6367158,629,106
7234843,838,104
7480210,318,206
9106285,373,141
9207233,2230,201
9274047,595,108
9398353,394,183
9706368,636,157
10109693,5067,403
12413386,249,218
12610297,1445,125
13781949,172,126
14055064,891,134
